fixture_id,date,home_team,away_team,home_score,away_score,status,elapsed,source,fetched_at
1494695,2026-07-12T12:30:00+00:00,KFUM Oslo,Bodo/Glimt,0,1,1H,40,api-sports,2026-07-12T13:11:34.885831+00:00
1525919,2026-07-12T13:00:00+00:00,Arsenal,FC Vitebsk,0,0,1H,12,api-sports,2026-07-12T13:11:34.885831+00:00
1528025,2026-07-12T13:00:00+00:00,Ulytau,Kaisar,0,0,1H,11,api-sports,2026-07-12T13:11:34.885831+00:00
1534364,2026-07-12T13:00:00+00:00,Gomel II,Bumprom,1,0,1H,12,api-sports,2026-07-12T13:11:34.885831+00:00
1536853,2026-07-12T13:00:00+00:00,Orenburg II,Rubin Kazan 2,0,0,1H,10,api-sports,2026-07-12T13:11:34.885831+00:00
1541639,2026-07-12T13:00:00+00:00,Reipas,HIFK Helsinki,0,0,1H,10,api-sports,2026-07-12T13:11:34.885831+00:00
1541713,2026-07-12T13:00:00+00:00,SJK-juniorit,TP-47,0,0,1H,10,api-sports,2026-07-12T13:11:34.885831+00:00
1541750,2026-07-12T13:00:00+00:00,Vaajakoski,Jaro 2,0,1,1H,11,api-sports,2026-07-12T13:11:34.885831+00:00
1546666,2026-07-12T12:00:00+00:00,BSG Chemie Leipzig,1. FC Magdeburg,1,1,1H,45,api-sports,2026-07-12T13:11:34.885831+00:00
1547327,2026-07-12T13:00:00+00:00,Portuguesa U20,Corinthians U20,0,0,1H,10,api-sports,2026-07-12T13:11:34.885831+00:00
1547330,2026-07-12T13:00:00+00:00,XV de Jaú U20,RB Bragantino U20,0,1,1H,11,api-sports,2026-07-12T13:11:34.885831+00:00
1548834,2026-07-12T13:00:00+00:00,WSPG Wels,Rapid Vienna,0,0,1H,12,api-sports,2026-07-12T13:11:34.885831+00:00
1567615,2026-07-12T13:00:00+00:00,FK Jablonec,VfL Osnabrück,0,0,1H,9,api-sports,2026-07-12T13:11:34.885831+00:00
1581349,2026-07-12T13:00:00+00:00,Sporting Paulinense,Independente SP,0,0,1H,12,api-sports,2026-07-12T13:11:34.885831+00:00
1581830,2026-07-12T13:00:00+00:00,Agama,Triangle United,0,0,1H,11,api-sports,2026-07-12T13:11:34.885831+00:00
1581831,2026-07-12T13:00:00+00:00,Herentals,Hardrock,0,0,1H,9,api-sports,2026-07-12T13:11:34.885831+00:00
1581832,2026-07-12T13:00:00+00:00,MWOS,Dynamos,0,0,1H,11,api-sports,2026-07-12T13:11:34.885831+00:00
1582687,2026-07-12T13:00:00+00:00,Guairena FC,12 de Junio VH,0,0,1H,10,api-sports,2026-07-12T13:11:34.885831+00:00
1494204,2026-07-12T12:00:00+00:00,Hammarby FF,Kalmar FF,2,0,2H,53,api-sports,2026-07-12T13:11:34.885831+00:00
1494205,2026-07-12T12:00:00+00:00,Malmo FF,IFK Goteborg,4,0,2H,52,api-sports,2026-07-12T13:11:34.885831+00:00
1494208,2026-07-12T12:00:00+00:00,Vasteras SK FK,Degerfors IF,1,0,2H,53,api-sports,2026-07-12T13:11:34.885831+00:00
1580406,2026-07-12T12:00:00+00:00,Social U20,Atlético Mineiro U20,1,0,2H,50,api-sports,2026-07-12T13:11:34.885831+00:00
1584326,2026-07-12T12:00:00+00:00,Uruguay Montevideo,Oriental,1,0,2H,46,api-sports,2026-07-12T13:11:34.885831+00:00
1584836,2026-07-12T11:00:00+00:00,Roi Et,BG Pathum United,0,2,2H,61,api-sports,2026-07-12T13:11:34.885831+00:00
